Number,Actual value,Fast runtime,FastN runtime,Impl1 runtime,Impl2 runtime,Fast abs err,Fast rel err,FastN abs err,FastN rel err,
0.012512,8.93999,0.173,0.134,0.85,0.868,0.033783,0.00377886,0.000191689,2.14417e-05,
743.12,0.0366835,0.051,0.309,1.193,0.912,-0.000452127,-0.0123251,8.39308e-06,0.000228797,
0.648587,1.2417,0.049,0.183,0.571,0.826,-0.0237578,-0.0191333,0.000686288,0.000552701,
101371,0.00314082,0.043,0.133,0.764,0.763,-6.35607e-05,-0.020237,1.94251e-06,0.000618471,
1.88521e+08,7.28316e-05,0.049,0.172,0.769,0.68,-1.12752e-06,-0.0154812,2.63171e-08,0.000361342,
3.52246e+09,1.68491e-05,0.04,0.416,0.552,0.67,1.5743e-07,0.00934352,2.19916e-09,0.000130521,
4.11571e+15,1.55876e-08,0.05,0.18,0.626,0.767,6.83819e-10,0.0438696,4.43414e-11,0.00284467,
3.90847e+12,5.05821e-07,0.06,0.128,0.6,0.661,1.68912e-08,0.0333938,8.36678e-10,0.0016541,
688131,0.00120549,0.043,0.138,0.683,0.74,-2.2818e-05,-0.0189284,6.51926e-07,0.000540796,
2.53773e+07,0.000198508,0.047,0.128,0.611,0.791,-3.85319e-06,-0.0194108,1.12908e-07,0.000568785,
2.98946e+10,5.78367e-06,0.043,0.18,0.561,0.609,-1.06202e-07,-0.0183624,2.94358e-09,0.000508947,
3.69758e+09,1.64453e-05,0.045,0.152,0.603,0.651,3.7575e-07,0.0228485,1.27802e-08,0.000777136,
3.96304e+08,5.02326e-05,0.049,0.184,0.564,0.618,-9.10841e-07,-0.0181325,2.49274e-08,0.00049624,
825.773,0.0347992,0.044,0.291,0.826,0.664,0.000185989,0.00534462,1.49012e-06,4.28204e-05,
454821,0.00148279,0.043,0.235,0.621,0.701,-2.7503e-05,-0.0185481,7.69971e-07,0.000519272,
23884.7,0.00647054,0.04,0.18,0.571,0.82,-0.000112041,-0.0173156,2.92715e-06,0.000452381,
1.53747e+11,2.55034e-06,0.042,0.129,0.549,0.693,-3.35801e-08,-0.013167,6.66205e-10,0.000261223,
0.0222292,6.70715,0.05,0.124,0.908,0.613,-0.103683,-0.0154585,0.00241661,0.000360304,
4.82113e+07,0.000144021,0.054,0.129,0.901,0.944,-1.93104e-06,-0.013408,3.89991e-08,0.000270788,
0.4874,1.43238,0.05,0.397,0.616,0.909,-0.0068661,-0.0047935,4.94719e-05,3.45383e-05,
26264.5,0.00617043,0.045,0.35,0.54,0.689,-0.000128452,-0.0208173,4.03868e-06,0.000654522,
3.74442e+11,1.63421e-06,0.042,0.131,0.554,0.648,-1.84477e-08,-0.0112885,3.13435e-10,0.000191796,
9.54182e+08,3.23731e-05,0.055,0.136,0.559,0.604,1.08065e-06,0.033381,5.3511e-08,0.00165295,
237058,0.00205387,0.051,0.145,0.624,0.666,8.17245e-05,0.0397905,4.81308e-06,0.00234342,
548095,0.00135074,0.055,0.159,0.621,0.675,-7.98807e-06,-0.00591384,7.08969e-08,5.24874e-05,
8883.76,0.0106097,0.054,0.351,0.571,0.693,-0.000107688,-0.01015,1.64565e-06,0.000155108,
4.80452e+08,4.56221e-05,0.05,0.125,0.587,0.676,-7.38128e-07,-0.0161792,1.8008e-08,0.000394721,
3.03076e+07,0.000181645,0.055,0.42,0.54,0.654,-2.7792e-06,-0.0153001,6.41012e-08,0.000352892,
298732,0.00182961,0.076,0.137,0.58,0.601,2.85812e-05,0.0156215,6.66245e-07,0.000364145,
3.64354e+10,5.23887e-06,0.098,0.155,0.607,0.645,-4.00455e-08,-0.00764391,4.60204e-10,8.78441e-05,
1.20407e+14,9.11327e-08,0.055,0.128,0.544,0.631,-1.76113e-09,-0.0193249,5.13793e-11,0.000563786,
8.46936,0.343617,0.047,0.118,0.554,0.646,-0.00255984,-0.00744969,2.86698e-05,8.34354e-05,
2.28675e+10,6.61288e-06,0.045,0.174,0.654,0.752,-5.71586e-08,-0.00864352,7.43057e-10,0.000112365,
336548,0.00172376,0.042,0.124,0.56,0.658,-6.83533e-06,-0.00396536,4.08618e-08,2.37051e-05,
3.81418e+07,0.00016192,0.049,0.296,0.63,0.881,-2.34866e-06,-0.0145051,5.13392e-08,0.000317066,
6.98993e+09,1.19609e-05,0.044,0.139,0.676,0.675,-2.48487e-07,-0.0207749,7.79619e-09,0.000651807,
7.6452e+18,3.61664e-10,0.042,0.125,0.559,0.678,-7.40688e-12,-0.02048,2.29067e-13,0.000633369,
24.0469,0.203925,0.049,0.122,0.756,0.635,-0.00389713,-0.0191106,0.000112414,0.000551253,
7.13703e+13,1.1837e-07,0.053,0.143,0.939,1.052,4.70824e-09,0.0397757,2.77197e-10,0.00234179,
2.89063e+06,0.000588171,0.054,0.134,0.772,0.74,-9.90636e-06,-0.0168426,2.5169e-07,0.000427919,
271644,0.00191867,0.049,0.133,0.737,0.697,6.71815e-05,0.0350147,3.48734e-06,0.00181758,
6.09337e+07,0.000128107,0.05,0.139,0.563,0.675,5.29649e-06,0.0413444,3.23955e-07,0.00252879,
22925.3,0.00660454,0.059,0.148,0.826,0.618,-9.24063e-05,-0.0139913,1.94833e-06,0.000294998,
5.87422e+15,1.30474e-08,0.045,0.167,0.522,0.838,-7.95506e-11,-0.00609703,7.28306e-13,5.58199e-05,
